path	size_bytes	compressed_bytes
AndroidManifest.xml	41160	7689
DebugProbesKt.bin	1728	777
META-INF/BNDLTOOL.RSA	2180	1904
META-INF/BNDLTOOL.SF	398082	130434
META-INF/MANIFEST.MF	397955	128235
META-INF/androidx.activity_activity.version	6	6
META-INF/androidx.annotation_annotation-experimental.version	6	6
META-INF/androidx.appcompat_appcompat-resources.version	6	6
META-INF/androidx.appcompat_appcompat.version	6	6
META-INF/androidx.arch.core_core-runtime.version	6	6
META-INF/androidx.asynclayoutinflater_asynclayoutinflater.version	6	6
META-INF/androidx.browser_browser.version	6	6
META-INF/androidx.cardview_cardview.version	6	6
META-INF/androidx.coordinatorlayout_coordinatorlayout.version	6	6
META-INF/androidx.core_core-ktx.version	6	6
META-INF/androidx.core_core.version	6	6
META-INF/androidx.cursoradapter_cursoradapter.version	6	6
META-INF/androidx.customview_customview.version	6	6
META-INF/androidx.databinding_viewbinding.version	5	5
META-INF/androidx.documentfile_documentfile.version	6	6
META-INF/androidx.drawerlayout_drawerlayout.version	6	6
META-INF/androidx.dynamicanimation_dynamicanimation.version	6	6
META-INF/androidx.exifinterface_exifinterface.version	6	6
META-INF/androidx.fragment_fragment.version	6	6
META-INF/androidx.interpolator_interpolator.version	6	6
META-INF/androidx.legacy_legacy-support-core-ui.version	6	6
META-INF/androidx.legacy_legacy-support-core-utils.version	6	6
META-INF/androidx.legacy_legacy-support-v4.version	6	6
META-INF/androidx.lifecycle_lifecycle-extensions.version	6	6
META-INF/androidx.lifecycle_lifecycle-livedata-core.version	6	6
META-INF/androidx.lifecycle_lifecycle-livedata.version	6	6
META-INF/androidx.lifecycle_lifecycle-process.version	6	6
META-INF/androidx.lifecycle_lifecycle-runtime-ktx.version	6	6
META-INF/androidx.lifecycle_lifecycle-runtime.version	6	6
META-INF/androidx.lifecycle_lifecycle-service.version	6	6
META-INF/androidx.lifecycle_lifecycle-viewmodel-savedstate.version	6	6
META-INF/androidx.lifecycle_lifecycle-viewmodel.version	6	6
META-INF/androidx.loader_loader.version	6	6
META-INF/androidx.localbroadcastmanager_localbroadcastmanager.version	6	6
META-INF/androidx.media_media.version	6	6
META-INF/androidx.preference_preference.version	6	6
META-INF/androidx.print_print.version	6	6
META-INF/androidx.recyclerview_recyclerview.version	6	6
META-INF/androidx.room_room-runtime.version	6	6
META-INF/androidx.savedstate_savedstate.version	6	6
META-INF/androidx.slidingpanelayout_slidingpanelayout.version	6	6
META-INF/androidx.sqlite_sqlite-framework.version	6	6
META-INF/androidx.sqlite_sqlite.version	6	6
META-INF/androidx.startup_startup-runtime.version	6	6
META-INF/androidx.swiperefreshlayout_swiperefreshlayout.version	6	6
META-INF/androidx.tracing_tracing.version	6	6
META-INF/androidx.transition_transition.version	6	6
META-INF/androidx.vectordrawable_vectordrawable-animated.version	6	6
META-INF/androidx.vectordrawable_vectordrawable.version	6	6
META-INF/androidx.versionedparcelable_versionedparcelable.version	6	6
META-INF/androidx.viewpager2_viewpager2.version	6	6
META-INF/androidx.viewpager_viewpager.version	6	6
META-INF/androidx.work_work-runtime.version	6	6
META-INF/com.google.android.material_material.version	6	6
META-INF/services/com.fasterxml.jackson.core.JsonFactory	39	39
META-INF/services/com.fasterxml.jackson.core.ObjectCodec	44	44
META-INF/services/kotlinx.coroutines.CoroutineExceptionHandler	54	50
META-INF/services/kotlinx.coroutines.internal.MainDispatcherFactory	52	49
androidsupportmultidexversion.txt	53	53
assets/MathJax/CONTRIBUTING.md	12176	4986
assets/MathJax/LICENSE	11358	3949
assets/MathJax/MathJax.js	61962	18688
assets/MathJax/README.md	2188	1063
assets/MathJax/bower.json	222	157
assets/MathJax/composer.json	483	273
assets/MathJax/config/AM_CHTML-full.js	234177	66015
assets/MathJax/config/AM_CHTML.js	168192	45621
assets/MathJax/config/AM_HTMLorMML-full.js	288754	80175
assets/MathJax/config/AM_HTMLorMML.js	172194	46664
assets/MathJax/config/AM_SVG-full.js	227549	63923
assets/MathJax/config/AM_SVG.js	143916	38592
assets/MathJax/config/Accessible-full.js	355944	102488
assets/MathJax/config/Accessible.js	239384	69076
assets/MathJax/config/MML_CHTML-full.js	217892	63960
assets/MathJax/config/MML_CHTML.js	151907	43596
assets/MathJax/config/MML_HTMLorMML-full.js	272469	77837
assets/MathJax/config/MML_HTMLorMML.js	155909	44651
