value,count,denominator,percent
Animals,150,61358,0.24
Art,150,61358,0.24
Celebrities,75,61358,0.12
Cografya,5535,61358,9.02
Dîrok,5526,61358,9.01
Edebiyat,5451,61358,8.88
Entertainment: Board Games,150,61358,0.24
Entertainment: Books,150,61358,0.24
Entertainment: Cartoon & Animations,150,61358,0.24
Entertainment: Comics,150,61358,0.24
Entertainment: Film,150,61358,0.24
Entertainment: Japanese Anime & Manga,150,61358,0.24
Entertainment: Music,150,61358,0.24
Entertainment: Musicals & Theatres,75,61358,0.12
Entertainment: Television,150,61358,0.24
Entertainment: Video Games,150,61358,0.24
General Knowledge,150,61358,0.24
Geography,2967,61358,4.84
History,150,61358,0.24
Muzîk,5439,61358,8.86
Mythology,150,61358,0.24
Paradigma,5537,61358,9.02
Politics,150,61358,0.24
Science & Nature,540,61358,0.88
Science: Computers,150,61358,0.24
Science: Gadgets,75,61358,0.12
Science: Mathematics,150,61358,0.24
Siyaset,5485,61358,8.94
Sports,150,61358,0.24
Teknolojî,6,61358,0.01
Vehicles,150,61358,0.24
Ziman,6292,61358,10.25
unknown,10000,61358,16.30
Çand,5505,61358,8.97
